"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 24 18:14:08 GMT 2025","Sun Aug 24 18:14:09 GMT 2025","1412","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Sun Aug 24 18:14:05 GMT 2025","Sun Aug 24 18:14:08 GMT 2025","2923","LMS system","Courses","Courses","","","Edit course",""
"passed","Sun Aug 24 18:14:07 GMT 2025","Sun Aug 24 18:14:07 GMT 2025","0","tests.pytest","test_markers","","","","test_regression_case",""
"passed","Sun Aug 24 18:14:07 GMT 2025","Sun Aug 24 18:14:07 GMT 2025","0","tests.pytest","test_markers","TestUserAuthentication","","","test_password_reset",""
"passed","Sun Aug 24 18:14:02 GMT 2025","Sun Aug 24 18:14:03 GMT 2025","1561","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Sun Aug 24 18:13:56 GMT 2025","Sun Aug 24 18:13:58 GMT 2025","1919","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Sun Aug 24 18:14:07 GMT 2025","Sun Aug 24 18:14:07 GMT 2025","0","tests.pytest","test_markers","TestUserAuthentication","","","test_logout",""
"passed","Sun Aug 24 18:14:07 GMT 2025","Sun Aug 24 18:14:07 GMT 2025","0","tests.pytest","test_markers","TestUserAuthentication","","","test_login",""
"passed","Sun Aug 24 18:14:04 GMT 2025","Sun Aug 24 18:14:06 GMT 2025","2310","LMS system","Courses","Courses","","","Create course",""
"passed","Sun Aug 24 18:13:58 GMT 2025","Sun Aug 24 18:14:00 GMT 2025","1602","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Sun Aug 24 18:14:02 GMT 2025","Sun Aug 24 18:14:04 GMT 2025","1373","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Sun Aug 24 18:14:00 GMT 2025","Sun Aug 24 18:14:01 GMT 2025","1169","LMS system","Authentication","Authorization","","","Navigation from login page to registration page",""
"passed","Sun Aug 24 18:14:07 GMT 2025","Sun Aug 24 18:14:07 GMT 2025","1","tests.pytest","test_markers","TestUserInterface","","","test_forgot_passwotd_link",""
"passed","Sun Aug 24 18:14:00 GMT 2025","Sun Aug 24 18:14:01 GMT 2025","1421","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Sun Aug 24 18:13:56 GMT 2025","Sun Aug 24 18:13:59 GMT 2025","3415","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"passed","Sun Aug 24 18:14:07 GMT 2025","Sun Aug 24 18:14:07 GMT 2025","0","tests.pytest","test_markers","","","","test_critical_login",""
